project,target,configuration,hash,code,status,start,end
core,test,,14776201506567923602,0,success,1722258822031,1722258822899
@muilk/toolkit-angular,build,,17889174940415301050,0,success,1722766609045,1722766610271
@muilk/core,build,,7244914041083979462,0,success,1722766609045,1722766610314
@muilk/toolkit-angular,build,,5535094554845797306,0,success,1722766698181,1722766699307
@muilk/core,build,,15229105664346353887,0,success,1722766698181,1722766699325
@muilk/toolkit-angular,build,,5535094554845797306,0,success,1722766736391,1722766737502
@muilk/core,build,,15229105664346353887,0,success,1722766736391,1722766737533
@muilk/toolkit-angular,build,,11615477821752399306,1,failure,1722766817334,1722766818558
@muilk/core,build,,8388956562275346646,1,failure,1722766817334,1722766818569
@muilk/toolkit-angular,build,,1382210491470483202,0,success,1722766867163,1722766868272
@muilk/core,build,,16831313505561301337,0,success,1722766867163,1722766868307
